name,type,details,status,asn,rank
Lumen,transit,signed + filtering,safe,3356,1
Telia,transit,signed + filtering,safe,1299,2
Cogent,transit,signed + filtering,safe,174,3
GTT,transit,signed + filtering,safe,3257,4
Sparkle,transit,started,unsafe,6762,5
NTT,transit,signed + filtering,safe,2914,6
Hurricane Electric,transit,signed + filtering,safe,6939,7
Zayo,transit,,unsafe,6461,8
TATA,transit,signed + filtering,safe,6453,9
PCCW,transit,signed + filtering,safe,3491,10
Vodafone,transit,,unsafe,1273,11
RETN,transit,partially signed + filtering,safe,9002,12
Telstra International,transit,signed,partially safe,4637,13
Orange,transit,signed + partially filtering,partially safe,5511,14
Telefonica/Telxius,transit,,unsafe,12956,15
PJSC RosTelecom,transit,,unsafe,12389,16
SingTel,transit,,unsafe,7473,17
Verizon,ISP,,unsafe,701,18
TransTelecom,transit,,unsafe,20485,19
Globenet,transit,,unsafe,52320,20
AT&T,ISP,signed + filtering peers only,partially safe,7018,21
Deutsche Telekom,ISP,started,unsafe,3320,22
Algar Telecom,transit,,unsafe,16735,23
Internexa,transit,,unsafe,262589,29
Comcast,ISP,signed + filtering,safe,7922,30
Liberty Global,transit,signed + filtering peers only,partially safe,6830,31
T-Mobile,transit,filtering,safe,1239,32
Angola Cables,transit,,unsafe,37468,33
Telefonica Vivo,transit,,unsafe,10429,35
Vocus Communications,transit,signed + filtering,safe,4826,38
Oi,ISP,,unsafe,7738,40
Embratel,transit,,unsafe,4230,42
Seabras,transit,,unsafe,13786,43
Core-Backbone,transit,signed + filtering,safe,33891,44
China Telecom,transit,,unsafe,4809,52
TIM Brasil,ISP,,unsafe,26615,54
EdgeUno,cloud,signed + filtering,safe,7195,55
G8,transit,signed + filtering,safe,28329,59
Swisscom,ISP,signed + filtering,safe,3303,62
Telstra,transit,signed + filtering,safe,1221,64
Eletronet,transit,,unsafe,267613,66
BR.Digital,transit,,unsafe,14840,68
W I X NET DO BRASIL,cloud,,unsafe,53013,73
Windstream Communications,ISP,,unsafe,7029,74
Cox Communications, ISP,,unsafe,22773,75
TPG,ISP,,unsafe,7545,81
Durand,transit,,unsafe,22356,82
MOB Telecom,transit,,unsafe,28598,83
Optus,transit,,unsafe,7474,84
SK Broadband,ISP,,unsafe,9318,89
Vivo GVT,ISP,,unsafe,18881,91
Bell Canada,ISP,,unsafe,577,92
IIJ,transit,signed + filtering peers only,partially safe,2497,95
GEANT,ISP,signed + filtering,safe,20965,99
RCS&RDS,ISP,,unsafe,8708,105
TurkTelekom,ISP,,unsafe,9121,115
Optimum,ISP,,unsafe,6128,119
Superloop Australia,transit,,unsafe,38195,121
OpenX,transit,signed + filtering,safe,263444,122
Delta Telecom,cloud,,unsafe,29049,126
American Tower Brasil,transit,,unsafe,23106,131
Softdados Telecom,transit,signed + filtering,safe,52873,132
Next Layer GmbH,transit,signed + filtering,safe,1764,133
Vodafone Idea,ISP,,unsafe,55410,134
Shaw Communications,ISP,,unsafe,6327,137
Telecom Argentina,ISP,,unsafe,7303,142
TELY,transit,,unsafe,53087,148
A1 Telekom Austria,ISP,,unsafe,8447,150
Init7 (Schweiz) AG,ISP,started,unsafe,13030,165
TELUS Communications,ISP,signed + filtering,safe,852,166
Fastweb,ISP,,unsafe,12874,175
AAPT Limited,ISP,,unsafe,2764,181
Wave Broadband,ISP,,unsafe,11404,182
Forte Telecom,transit,,unsafe,263009,183
Cloudflare,cloud,signed + filtering,safe,13335,187
GlobalConnect,ISP,signed,unsafe,31027,194
Vogel,transit,,unsafe,25933,197
Vodafone Espana,ISP,,unsafe,12430,205
Sunrise Communications AG,ISP,,unsafe,6730,208
Telecom Italia,ISP,,unsafe,3269,211
British Telecommunications,ISP,,unsafe,2856,212
SIA Tet,ISP,,unsafe,12578,217
PLDT,ISP,,unsafe,9299,218
M247,cloud,,unsafe,9009,219
ITS Telecom,transit,signed + filtering,safe,28186,220
Acorus Networks,ISP,signed + filtering,safe,35280,227
Rogers,ISP,started,unsafe,812,229
Reliance Jio,ISP,signed,unsafe,55836,232
Vodafone DE,ISP,,unsafe,3209,233
Alta Rede,transit,,unsafe,28260,238
Jaguar Network,ISP,signed + filtering,safe,30781,244
RCN,ISP,signed + filtering,safe,6079,267
VNPT,cloud,,unsafe,45899,279
Telekom Hungary,ISP,signed,unsafe,5483,289
TDC,ISP,signed + filtering,safe,3292,290
Wirelink,transit,,unsafe,28368,292
Vivacom,ISP,signed,partially safe,8866,305
CDN77,cloud,signed,partially safe,60068,308
Globe Telecom,ISP,,unsafe,4775,311
Claro Argentina,ISP,,unsafe,11664,312
Telenor,ISP,signed + filtering,safe,2119,318
SFR,ISP,,unsafe,15557,336
HiNet,ISP,signed + filtering,safe,3462,340
ANEXIA Internetdienstleistungs GmbH,transit,signed + filtering,safe,47147,350
Vocus Group NZ,ISP,,unsafe,9790,353
Virgin Media UK,ISP,signed,partially safe,5089,365
HKBN,ISP,,unsafe,9269,370
Magenta (T-Mobile) Austria,ISP,,unsafe,8412,375
G-Core Labs,cloud,,unsafe,199524,387
Brisanet,ISP,signed + filtering,safe,28126,394
K2 Telecom,transit,,unsafe,53181,395
NTS Workspace AG,ISP,signed + filtering,safe,15576,412
Copel Telecom,transit,,unsafe,14868,415
ACONET,transit,started,unsafe,1853,431
WOW!,ISP,,unsafe,12083,445
Psychz Networks,cloud,,unsafe,40676,451
Turknet,ISP,,unsafe,12735,485
MNET,ISP,signed + filtering,safe,8767,492
Hutchison Drei Austria,ISP,,unsafe,25255,499
TASCOM,transit,,unsafe,52871,504
Biznet Networks,ISP,signed + filtering,safe,17451,521
Devoli,ISP,signed + filtering,safe,45177,527
Silknet,ISP,signed,unsafe,35805,532
SuddenLink,ISP,,unsafe,19108,536
DNA Oyj,ISP,,unsafe,16086,557
Kyivstar,ISP,,unsafe,15895,578
Elisa Finland,ISP,,unsafe,719,585
NIB India,ISP,,unsafe,9829,589
HOPUS,transit,signed + filtering,safe,44530,598
Hydra Communications,cloud,signed + filtering,safe,25369,624
GSL Networks,cloud,,unsafe,137409,635
Hetzner Online,cloud,signed,unsafe,24940,641
ASAP Telecom,transit,,unsafe,264144,645
NForce,cloud,signed,unsafe,43350,663
FasterNET,ISP,,unsafe,28580,683
Spectrum,ISP,,unsafe,12271,685
Beltelecom,ISP,,unsafe,6697,688
Obenetwork,ISP,signed + filtering,safe,3399,712
Taiwan Fixed Network,ISP,signed,unsafe,9924,719
Blix Solutions AS,cloud,,unsafe,50304,726
QuadraNet,cloud,,safe,8100,733
Volia,cloud,,unsafe,25229,736
Videotron,ISP,,unsafe,5769,741
M�SM�VIL,ISP,,unsafe,15704,747
Altibox,ISP,signed + filtering,safe,29695,757
KPN-Netco,ISP,signed,partially safe,1136,764
eww ag,transit,,unsafe,21013,769
Equinix Metal,Cloud,signed + filtering peers,partially safe,54825,772
ViewQwest,ISP,signed + filtering,safe,18106,794
Aussie Broadband,ISP,signed + filtering,safe,4764,803
NOS COMUNICACOES,ISP,signed + filtering,safe,2860,808
Persis Telecom,ISP,signed + filtering,safe,14282,833
Digital Energy Technologies Limited (Global),cloud,signed + filtering peers,partially safe,61317,846
Janet,ISP,partially signed + filtering,partially safe,786,858
Shentel,ISP,,unsafe,4922,865
Vodafone IT,ISP,,unsafe,30722,886
NetCologne,ISP,,unsafe,8422,935
2degrees,ISP,,unsafe,23655,957
HotNet Internet Services,ISP,,unsafe,12849,978
Proximus,ISP,,unsafe,5432,981
Maxihost,cloud,,unsafe,262287,989
CYTA,ISP,signed + filtering,safe,6866,1006
PenTeleData,ISP,signed,unsafe,3737,1026
Ziggo,ISP,signed,partially safe,33915,1049
Telenet,ISP,,unsafe,6848,1051
Trustpower,ISP,started,unsafe,55850,1068
Bredband2,ISP,signed + filtering,safe,29518,1084
Belwue,ISP,signed + filtering,safe,553,1100
Vodafone Hungary,ISP,,unsafe,21334,1107
Cogeco,ISP,,unsafe,7992,1134
Performive,cloud,,unsafe,46562,1139
Bouygues Telecom,ISP,,unsafe,5410,1163
Siminn,ISP,,unsafe,6677,1179
noris network AG,ISP,signed + filtering,safe,12337,1184
Cablenet Cyprus,ISP,signed + filtering,safe,35432,1205
IP Converge Data Services Inc.,cloud,,unsafe,23930,1214
Synapsecom Telecoms,cloud,,unsafe,8280,1226
NetCom BW,ISP,,unsafe,41998,1285
Terrahost,cloud,signed + filtering,safe,56655,1296
SaskTel,ISP,signed,unsafe,803,1316
Radore Veri Merkezi Hizmetleri,cloud,,unsafe,42926,1321
Mobicom,transit,filtering,safe,55805,1361
xneelo,cloud,,unsafe,37153,1428
Worldstream,ISP,signed,partially safe,49981,1441
ColoCrossing,cloud,filtering,partially safe,36352,1466
UK-2 Limited,cloud,,unsafe,13213,1467
Vodafone Portugal,ISP,,unsafe,12353,1472
Via Radio Dourados,transit,signed + filtering,safe,61785,1536
IBM Cloud,cloud,,unsafe,36351,1539
iiNet Limited,ISP,,unsafe,4739,1545
A2B Internet,ISP,signed + filtering,safe,51088,1567
Vocus Retail,ISP,signed + filtering,safe,9443,1622
CESNET,ISP,signed + filtering,safe,2852,1632
Claranet,ISP,,safe,8426,1635
Belnet,ISP,signed + filtering,safe,2611,1636
TekSavvy,ISP,,unsafe,5645,1638
