asn,handle
577,Bell
701,VERIZON
812,Rogers
852,TELUS
1221,Telstra
1267,WIND_Telecomunicazioni
1399,megacable
1741,CSCfi
1759,TeliaFinland
2018,Telenet
2611,belnet_be
2856,bt_uk
3209,vodafone_de
3215,Orange_France
3238,Alcom_ax
3269,tim_official
3303,Swisscom
3304,Scarlet
3320,deutschetelekom
3352,Telefonica
4764,Aussie_BB
5089,virginmedia
5410,bouyguestelecom
5466,eir
5432,proximus
5488,proximus
5645,TekSavvyNetwork
5769,videotron
6128,Optimum
6181,CincyBell
6327,ShawInfo
6667,ElisaOyj
6799,otenet_gr
6830,libertyglobal
6848,Telenet
7029,Windstream
7922,Comcast
7992,cogeco
8151,Telmex
8167,oi_oficial
8220,Colt_Technology
8236,DNA_fi
8559,KabelplusDK
8881,versatel
9031,edpnet
9208,win_ICTpartner
9299,PLDT_Cares
10139,LiveSmart
10838,getspectrum
12271,getspectrum
12322,free
12330,MPYPalvelut
12353,VodafonePT
12392,VOOetvous
12430,vodafone_es
12582,TeliaFinland
12876,as12876
13170,KaisanetOy
15424,ElisaOyj
15496,AaltoUniversity
15557,SFR
12626,SFR
12566,SFR
29372,SFR
16086,DNA_fi
16302,SuomiCom
20001,getspectrum
20904,Netplaza
20115,getspectrum
20931,ElisaOyj
21366,ElisaOyj
21502,Numericable
21928,TMobile
22773,CoxComm
22394,CELLCOATT
23889,telecom_mu
24713,CGI_FI
24751,JNTPSP
25178,PCCWGlobal
28403,RadiomovilDIPSA
28573,NEToficial
28704,proximus
29132,imageworldFIN
29422,TeliaFinland
30722,VodafoneIT
30798,TNNetOy
31639,planeettanet
33801,EdzcomOfficial
35382,Capnova
39857,AaltoUniversity
39699,LouneaOy
41998,NetComBW
44944,Telenet
46375,sonic
47524,turksat
47377,OrangeBeFR
48403,planeettanet
49422,DNA_fi
49762,ElisaOyj
49826,LouneaOy
50290,Valtori_
50377,ITaitoOy
51164,CybercomFinland
51728,SeltimilHuolto
51935,BLCkonserni
56478,HyperopticCS
57066,Yleisradio
57933,IRISnet_team
58003,planeettanet
62044,Zscaler_Inc_EMEA
134067,unitiwireless
16591,GoogleFiber
196655,NivosOy
198024,IstekkiOy
202053,UpCloud
203609,Erillisverkot
206927,Bittium
10139,SMARTCares
